Year,RESEDINTA,SEX,GRUPE_VIRSTA,GRUPE_VIRSTA_II,GRUPE_VIRSTE_II_SEX,GRUPE_VIRSTA_III,GRUPE_VIRSTE_III_SEX,STAT_OCUP,Value
2013,,,,,,,,angajati in sectorul non-agrar,
2013,,,,,,,,angajati cont propriu,
2013,,,,,,,,pensionari,
2013,,,,,,,,alte,
2014,,,,,,,,,3.347453669012193
2014,urban,,,,,,,,1.6243871057587695
2014,rural,,,,,,,,4.586744567488586
2014,,barbat,,,,,,,3.10814708090434
2014,,femeie,,,,,,,3.5586203618355827
2014,,,15-24,,,,,,3.8843615125321653
2014,,,25-34,,,,,,3.563465812550165
2014,,,35-44,,,,,,4.4117112946676444
2014,,,45-54,,,,,,3.289360549262535
2014,,,55+,,,,,,1.0530783303509352
2014,,,,0-14,,,,,5.530680806585158
2014,,,,15+,,,,,2.872833766177098
2014,,,,,barbat,,,,2.8387623275935927
2014,,,,,femeie,,,,2.9021009469977566
2014,,,,,,15-24,,,3.8843615125321653
2014,,,,,,,barbat,,3.523121766655889
2014,,,,,,,femeie,,4.2830194554307
2014,,,,,,25+,,,2.664386689656412
2014,,,,,,,barbat,,2.6740517711658405
2014,,,,,,,femeie,,2.6565048676948657
2014,,,,,,,,fermieri,11.956372974556427
2014,,,,,,,,angajati in sectorul agrar,2.111447226533889
2014,,,,,,,,angajati in sectorul non-agrar,0.2893847042125593
2014,,,,,,,,angajati cont propriu,2.335193189608247
2014,,,,,,,,pensionari,1.1761794508755041
2014,,,,,,,,alte,8.931986608574203
2015,,,,,,,,,2.47836000334899
2015,urban,,,,,,,,0.6746641851950361
2015,rural,,,,,,,,3.7738176412993396
2015,,barbat,,,,,,,2.640922839312846
2015,,femeie,,,,,,,2.3325521645956697
2015,,,15-24,,,,,,3.1371694833199975
2015,,,25-34,,,,,,1.9712711252880246
2015,,,35-44,,,,,,3.760298262980294
2015,,,45-54,,,,,,2.5348076537073645
2015,,,55+,,,,,,0.6624498411796127
2015,,,,0-14,,,,,4.216910285465477
2015,,,,15+,,,,,2.096554023494756
2015,,,,,barbat,,,,2.254569568417482
2015,,,,,femeie,,,,1.9614893054738771
2015,,,,,,15-24,,,3.1371694833199975
2015,,,,,,,barbat,,3.234385466634059
2015,,,,,,,femeie,,3.044081472557518
2015,,,,,,25+,,,1.9122403871288076
2015,,,,,,,barbat,,2.0683380263270625
2015,,,,,,,femeie,,1.7814827160693392
2015,,,,,,,,fermieri,13.714729918157968
2015,,,,,,,,angajati in sectorul agrar,4.239959534983556
2015,,,,,,,,angajati in sectorul non-agrar,0.5179133657207948
2015,,,,,,,,angajati cont propriu,2.095443194036416
2015,,,,,,,,pensionari,0.19387849608428848
2015,,,,,,,,alte,2.997382083940542
2016,,,,,,,,,3.3747916754954246
2016,urban,,,,,,,,1.582166596571163
2016,rural,,,,,,,,4.66512900476326
2016,,barbat,,,,,,,3.6333972086372355
2016,,femeie,,,,,,,3.1500138773156108
2016,,,15-24,,,,,,3.8399730943975157
2016,,,25-34,,,,,,4.249412135872613
2016,,,35-44,,,,,,4.637768573790299
2016,,,45-54,,,,,,3.1286115512819066
2016,,,55+,,,,,,0.9612270680414304
2016,,,,0-14,,,,,5.4878637226001645
2016,,,,15+,,,,,2.906104238189028
2016,,,,,barbat,,,,3.1609908247012366
2016,,,,,femeie,,,,2.6965827607467716
2016,,,,,,15-24,,,3.8399730943975157
2016,,,,,,,barbat,,4.459730339615355
2016,,,,,,,femeie,,3.2919193054083653
2016,,,,,,25+,,,2.743073237114347
2016,,,,,,,barbat,,2.9234776620169662
2016,,,,,,,femeie,,2.5966633828151644
2016,,,,,,,,fermieri,17.697615669718683
2016,,,,,,,,angajati in sectorul agrar,3.2615180301930913
2016,,,,,,,,angajati in sectorul non-agrar,0.5940226652731513
2016,,,,,,,,angajati cont propriu,2.0605468859995235
2016,,,,,,,,pensionari,0.43984377478940895
2016,,,,,,,,alte,5.754700730161326
2017,,,,,,,,,2.2131289697615486
2017,urban,,,,,,,,1.3874972357556847
2017,rural,,,,,,,,2.7902109988830563
2017,,barbat,,,,,,,2.50545367663168
2017,,femeie,,,,,,,1.9563650125161722
2017,,,15-24,,,,,,2.4606933994955824
2017,,,25-34,,,,,,2.884197988985683
2017,,,35-44,,,,,,2.562912329824391
2017,,,45-54,,,,,,2.6759485208331193
2017,,,55+,,,,,,0.7673725846031113
2017,,,,0-14,,,,,3.247193957303365
2017,,,,15+,,,,,1.978425395844404
2017,,,,,barbat,,,,2.3049750830834808
2017,,,,,femeie,,,,1.7051153248715316
2017,,,,,,15-24,,,2.4606933994955824
2017,,,,,,,barbat,,2.9397652992901047
2017,,,,,,,femeie,,1.9386367415753927
2017,,,,,,25+,,,1.901979738309044
2017,,,,,,,barbat,,2.1871111683696824
2017,,,,,,,femeie,,1.6731885871930645
2017,,,,,,,,fermieri,8.348097271117773
2017,,,,,,,,angajati in sectorul agrar,4.233992706345245
2017,,,,,,,,angajati in sectorul non-agrar,0.2554336077558163
2017,,,,,,,,angajati cont propriu,1.6574341318643333
2017,,,,,,,,pensionari,0.9262399649985988
2017,,,,,,,,alte,4.734867977853929
2018,,,,,,,,,2.4558675049238707
2018,urban,,,,,,,,1.3731202123591777
2018,rural,,,,,,,,3.209692037955527
2018,,barbat,,,,,,,2.4889904994337835
2018,,femeie,,,,,,,2.426622726369032
2018,,,15-24,,,,,,2.1849815118503466
2018,,,25-34,,,,,,2.8689537239152623
2018,,,35-44,,,,,,3.7204364352681063
2018,,,45-54,,,,,,2.56153485674568
2018,,,55+,,,,,,0.6692689380409179
2018,,,,0-14,,,,,4.2123823667596
2018,,,,15+,,,,,2.050161575741515
2018,,,,,barbat,,,,2.1834266235520126
2018,,,,,femeie,,,,1.936852228307441
2018,,,,,,15-24,,,2.1849815118503466
2018,,,,,,,barbat,,2.2691684451823733
2018,,,,,,,femeie,,2.0870404078020584
2018,,,,,,25+,,,2.0305574527048917
2018,,,,,,,barbat,,2.1684662750265087
2018,,,,,,,femeie,,1.9185592984888378
2018,,,,,,,,fermieri,7.975178885831136
2018,,,,,,,,angajati in sectorul agrar,1.2984638984624173
2018,,,,,,,,angajati in sectorul non-agrar,0.028202883278392946
2018,,,,,,,,angajati cont propriu,2.8339030121758633
2018,,,,,,,,pensionari,0.7760816703245615
2018,,,,,,,,alte,7.8803849390984215
